transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,notes
TXN0200009,2025-04-15,1391.9,1391.9,GBP,Western Union,Mobile Payment,Western Union,Money Transfer,Completed,False,High value transaction
TXN0200060,2025-04-20,42.52,42.52,GBP,Amazon Prime,Mobile Payment,Amazon Prime - Mobile Payment,Online Shopping,Completed,False,
TXN0200025,2025-04-22,555.51,555.51,GBP,Texaco,ATM Withdrawal,Payment to Texaco,Transport,Completed,False,
TXN0200014,2025-04-22,218.49,218.49,GBP,Hotels.com,Standing Order,Hotels.com - Standing Order,Travel,Completed,False,
TXN0200039,2025-04-22,562.56,562.56,GBP,Morrisons,ATM Withdrawal,ATM Withdrawal - Morrisons,Groceries,Completed,False,
TXN0200042,2025-04-26,196.6,196.6,GBP,Amazon Prime,Direct Debit,Amazon Prime,Online Shopping,Completed,False,
TXN0200048,2025-04-28,-1310.33,-1310.33,GBP,British Gas,Standing Order,British Gas,Utilities,Completed,False,
TXN0200052,2025-05-01,430.93,430.93,GBP,Unspecified Merchant,Bank Transfer,Unspecified Merchant,Unknown,Completed,False,Missing audit trail
TXN0200049,2025-05-03,166.07,166.07,GBP,TfL Transport,Contactless,Payment to TfL Transport,Transport,Completed,False,
TXN0200024,2025-05-05,431.51,431.51,GBP,Betway,Bank Transfer,Betway - Bank Transfer,Gambling,Completed,False,Gambling transaction
TXN0200011,2025-05-08,110.21,110.21,GBP,British Gas,Online Purchase,Online Purchase - British Gas,Utilities,Completed,False,
TXN0200033,2025-05-08,214.92,214.92,GBP,Thames Water,Bank Transfer,Bank Transfer - Thames Water,Utilities,Completed,False,
TXN0200020,2025-05-10,2867.93,2867.93,GBP,Starbucks,ATM Withdrawal,Starbucks,Food & Drink,Completed,False,High value transaction
TXN0200027,2025-05-11,113.46,113.46,GBP,British Gas,Contactless,British Gas - Contactless,Utilities,Completed,False,
TXN0200041,2025-05-12,889.84,889.84,GBP,Asda,ATM Withdrawal,Payment to Asda,Groceries,Completed,False,
TXN0200051,2025-05-20,13.57,13.57,GBP,Hotels.com,Contactless,Hotels.com - Contactless,Travel,Completed,False,
TXN0200031,2025-05-20,16.86,16.86,GBP,Currys PC World,Standing Order,Payment to Currys PC World,Electronics,Completed,False,
TXN0200081,2025-05-23,975.04,975.04,GBP,TfL Transport,Refund,Refund - TfL Transport,Transport,Completed,False,
TXN0200003,2025-05-24,3811.96,3811.96,GBP,Octopus Energy,ATM Withdrawal,Octopus Energy - ATM Withdrawal,Utilities,Completed,False,High value transaction
TXN0200071,2025-05-24,168.93,168.93,GBP,EasyJet,Refund,Payment to EasyJet,Travel,Completed,False,
TXN0200066,2025-05-25,454.20000000000005,45.42,GBP,Booking.com,Card Payment,Payment to Booking.com,Travel,Completed,True,Data error detected
TXN0200028,2025-05-29,-4826.43,-4826.43,GBP,EasyJet,ATM Withdrawal,EasyJet - ATM Withdrawal,Travel,Completed,False,
TXN0200054,2025-05-30,524.11,524.11,GBP,Capital One Payment,Mobile Payment,Capital One Payment,Debt Payment,Completed,False,
TXN0200061,2025-07-01,225.29,225.29,GBP,Esso,Mobile Payment,Esso - Mobile Payment,Transport,Completed,False,
TXN0200063,2025-07-03,209.5,209.5,GBP,Octopus Energy,Purchase,Payment to Octopus Energy,Utilities,Completed,False,
TXN0200023,2025-07-07,1913.61,1913.61,GBP,Remitly,Card Payment,Payment to Remitly,Money Transfer,Completed,False,High value transaction
TXN0200045,2025-07-07,111.92,111.92,GBP,Starbucks,ATM Withdrawal,Starbucks - ATM Withdrawal,Food & Drink,Completed,False,
TXN0200090,2025-07-08,304.98,304.98,GBP,Western Union,ATM Withdrawal,Western Union - ATM Withdrawal,Money Transfer,Completed,False,
TXN0200073,2025-07-13,224.26,224.26,GBP,Costa Coffee,Contactless,Costa Coffee,Food & Drink,Completed,False,
TXN0200038,2025-07-13,103.24,103.24,GBP,McDonald's,ATM Withdrawal,ATM Withdrawal - McDonald's,Food & Drink,Completed,False,
TXN0200062,2025-07-14,28.58,28.58,GBP,Netflix,Refund,Netflix - Refund,Entertainment,Completed,False,
TXN0200044,2025-07-14,215.39,215.39,GBP,Costa Coffee,Bank Transfer,Costa Coffee,Food & Drink,Completed,False,
TXN0200010,2025-07-15,1092.25,1092.25,GBP,Remitly,Purchase,Remitly,Money Transfer,Completed,False,High value transaction
TXN0200098,2025-07-16,137.68,137.68,GBP,BP Station,Purchase,Purchase - BP Station,Transport,Completed,False,
TXN0200094,2025-07-16,381.61,381.61,GBP,Hotels.com,Online Purchase,Hotels.com,Travel,Completed,False,
TXN0200004,2025-07-16,214.67,214.67,GBP,Starbucks,Purchase,Starbucks - Purchase,Food & Drink,Completed,False,
TXN0200037,2025-07-17,74.68,74.68,GBP,Airbnb,Refund,Airbnb,Travel,Completed,False,
TXN0200084,2025-07-18,1408.25,1408.25,GBP,Louis Vuitton,Direct Debit,Louis Vuitton,Luxury,Completed,False,High value transaction
TXN0200083,2025-07-19,-151.15,-151.15,GBP,Sky Bet,Online Purchase,Sky Bet - Online Purchase,Gambling,Completed,False,Gambling transaction
TXN0200040,2025-07-25,221.23,221.23,GBP,PokerStars,Mobile Payment,PokerStars - Mobile Payment,Gambling,Completed,False,Gambling transaction
TXN0200076,2025-07-29,79.37,79.37,GBP,Costa Coffee,Standing Order,Payment to Costa Coffee,Food & Drink,Completed,False,
TXN0200097,2025-08-01,1521.68,1521.68,GBP,PayPal Transfer,ATM Withdrawal,Payment to PayPal Transfer,Money Transfer,Completed,False,High value transaction
TXN0200087,2025-08-02,-748.08,-748.08,GBP,Texaco,Bank Transfer,Bank Transfer - Texaco,Transport,Completed,False,
TXN0200093,2025-08-04,564.23,564.23,GBP,Spotify,Card Payment,Spotify,Entertainment,Completed,False,
TXN0200002,2025-08-07,-200.41,-200.41,GBP,TfL Transport,Standing Order,TfL Transport,Transport,Completed,False,
TXN0200022,2025-08-07,282.69,282.69,GBP,888 Casino,Contactless,888 Casino,Gambling,Pending,False,Gambling transaction
TXN0200046,2025-08-08,110.61,110.61,GBP,TfL Transport,Refund,TfL Transport,Transport,Completed,False,
TXN0200012,2025-08-11,215.72,215.72,GBP,Betfair,Purchase,Payment to Betfair,Gambling,Completed,False,Gambling transaction
TXN0200086,2025-08-16,314.39,314.39,GBP,Pret A Manger,Direct Debit,Pret A Manger - Direct Debit,Food & Drink,Completed,False,
TXN0200017,2025-08-16,201.5,201.5,GBP,Capital One Payment,ATM Withdrawal,Payment to Capital One Payment,Debt Payment,Completed,False,
TXN0200091,2025-08-19,196.65,196.65,GBP,Morrisons,Contactless,Morrisons,Groceries,Completed,False,
TXN0200070,2025-08-27,1865.15,1865.15,GBP,Azimo,Card Payment,Azimo - Card Payment,Money Transfer,Completed,False,High value transaction
